code,smile,id
vat-d360,OC(=O)COC=1C=CC=CC1,360
vat-d361,NC=1C=CC=C2NC=NC12,361
vat-d362,CC1=NC=C(S1)C(=O)O,362
vat-d363,OC(=O)C=1C=CC=2NC(=O)CSC2C1,363
vat-d364,NC(=N)C=1C=CC=2C=CC=CC2C1,364
vat-d365,OC(=O)C1=CC=2C=C(Cl)SC2N1,365
vat-d366,NS(=O)(=O)C1=NC=CN1,366
vat-d367,OCC=1C=CC(Br)=CC1,367
vat-d368,CC=1NC=2C=CC=CC2C(=O)C1O,368
vat-d369,OCCNC(=O)C=1C=CC(Cl)=CC1,369
vat-d370,CC=1C=NC(C)=NC1N,370
vat-d372,CC=1C=CC=CC1CCC(=O)O,372
vat-d373,CC1=CC=2C=CC=CC2N1,373
vat-d374,NS(=O)(=O)C1=CC=2C=CC=CC2O1,374
vat-d375,OC(=O)CC=1C=C(Cl)C=C(Cl)C1,375
vat-d376,O=C1CCC=2C=CC=C3CCN1C32,376
vat-d377,CC1=CNC(=O)N=C1N,377
vat-d378,OC(=O)C=1C=NN(C1)C=2C=CC=CC2,378
vat-d379,NC(=O)C=1C=CC=NC1,379
vat-d380,NC1=NC=2C(Cl)=CC=CC2S1,380
vat-d381,NC=1C=CC(C(=O)O)=C(O)C1,381
vat-d382,NS(=O)(=O)C1=CC=CS1,382
vat-d383,O=C1N(CC=2C=CC=CC2)C=3C=CC=CC3C1=O,383
vat-d384,CN(C)C=1C=CC=C(C1)C(=O)NN,384
vat-d385,NC1=NC=2C=CC(Cl)=CC2S1,385
vat-d387,OC(=O)COC=1C=CC=C2C=CC=CC12,387
vat-d388,CC1=CC=C(O1)C(=O)O,388
vat-d389,OC(=O)C=1C=CC(=CC1)C(F)(F)F,389
vat-d390,CC(=O)C=1C=CC=2OCCOC2C1,390
vat-d391,CC=1C=CC=C(C)C1OCC(=O)O,391
vat-d392,NNC(=O)C=1C=CC=CC1,392
vat-d393,OC=1C=CC=C2C=CC=NC12,393
vat-d395,OC(=O)CN1C=2C=CC=CC2C(=O)C=3C=CC=CC13,395
vat-d396,CC=1C=CC(CCC(=O)O)=CC1,396
vat-d397,NC1=NC=2C=CC=CC2N1,397
vat-d398,CNC(=O)C=1C=C(Cl)C=CN1,398
vat-d399,OC(=O)CC1=CNC=2C=CC(Br)=CC12,399
vat-d400,OC(=O)C=1C=CC=2OCCC2C1,400
vat-d401,OC=1C=CC(=CC1)N2C=CN=C2,401
vat-d402,CC=1C=CC(F)=CC1C(=O)O,402
vat-d404,OC(=O)C=1C=CC=C2OCCOC12,404
vat-d405,OC(=O)CC1=NNC(=O)C=2C=CC=CC12,405
vat-d406,OC(=O)COC1CCCCC1,406
vat-d407,NC=1C=CC(=CC1)S(=O)(=O)N,407
vat-d408,CC1=NC(CC(=O)O)=C(C)S1,408
vat-d409,CC1=C(C=NN1C=2C=CC=CC2)C(=O)O,409
vat-d410,NC=1C=C(F)C=CC1C(=O)O,410
vat-d411,FC=1C=CC(=CC1)C(=O)C=2C=CN=CC2,411
vat-d412,C1=NC(=CN1)C=2C=CC=CC2,412
vat-d413,C(C=1C=CC=CC1)C=2C=CN=CC2,413
vat-d414,CNCC=1C=CC(=CC1)N2CCCCC2,414
vat-d415,OC(=O)C=1C=CC(=NC1)C=2C=CC=CC2,415
vat-d417,NC=1C=CC(F)=CC1C(=O)O,417
vat-d419,CC=1C=C(C)N=C(N)N1,419
vat-d420,CC1(CCCC1)C(=O)O,420
vat-d421,OC(=O)CCN1C=NC=2C=CC=CC12,421
vat-d422,CC=1C=CC=C2NC(=CC12)C(=O)O,422
vat-d423,OC(=O)C=1C=C(Cl)C=C2C=CC=NC12,423
vat-d424,COC=1C=CC=2NC(=CC2C1)C(=O)O,424
vat-d425,OC(=O)C1=CC=2C(Cl)=CC=CC2N1,425
vat-d428,Cl.FC(F)(F)C=1C=CN=C(N1)C2CCCN2,428
vat-d429,OC(=O)CN1N=C(C=2CCCCC21)C(F)(F)F,429
vat-d431,CC(C)N1C(N)=NC=2C=CC=CC12,431
vat-d433,CC=1C=CC=2C(=CNC2C1)C(=O)O,433
vat-d435,CC=1C=C(CO)C=2C=CC=CC2N1,435
vat-d436,OC(=O)C1=CNC=2C=C(Cl)C=CC12,436
vat-d437,FC(F)(F)C=1C=CN=C(N1)N2CCNCC2,437
vat-d438,NC1=NC=2C=CC(Br)=CC2S1,438
vat-d439,NC1=NC=2C=CC(F)=CC2S1,439
vat-d440,FC(F)(F)C=1C=CC(OC2CCNCC2)=NC1,440
vat-d441,Cl.Cl.NCCC1=CNC=N1,441
vat-d442,OC=1C=CC=C(C1)C(=O)N2CCOCC2,442
vat-d443,CC(O)(C(=O)O)C=1C=CC=CC1,443
vat-d444,OCC1=CC=2C(Cl)=CC=CC2N1,444
vat-d445,OC(=O)C1=CC=2C=CC(Cl)=CC2N1,445
vat-d448,CC(=O)C1=CNC=2C=C(F)C=CC12,448
vat-d449,OCC1=NC=2C=CC=CC2N1,449
vat-d450,OCC=1C=CC=C2OCCOC12,450
vat-d451,NS(=O)(=O)C1=NC=2C=CC=CC2N1,451
vat-d453,CC=1C=C(C)C(N)=C(C1)C(=O)O,453
vat-d454,CCC=1C=CC(O)=CC1,454
vat-d456,OC(=O)C=1C=NC=C(O)C1,456
vat-d457,NC(=O)C=1C=CC=CC1O,457
vat-d459,OC(=O)C=1SC=CC1N2C=CC=C2,459
