sample,SMILES_string,Number of molecules,# O atoms,# Cl atoms,# S atoms,# P atoms,# Br atoms,# I atoms,DK hit?,HG hit?,Use
209,['CC(C)c1ccc(cc1)C(=O)NC[C@@H]2CCCO2'],1,2,0,0,0,0,0,0,0,0
210,['c1ccc(cc1)COC(=O)NO'],1,3,0,0,0,0,0,0,0,0
211,['COC(=O)c1ccc(s1)c2ccccn2'],1,2,0,1,0,0,0,0,0,0
212,['CCn1cc(cn1)CNC(=O)c2cccnc2'],1,1,0,0,0,0,0,0,0,0
213,['CC(=O)c1ccc(cc1)N2CCC(CC2)C(=O)N'],1,2,0,0,0,0,0,0,0,0
214,['CCN(CCO)c1ccc(c(c1)C)N'],1,1,0,0,0,0,0,0,0,0
215,['c1ccc(cc1)[C@@H](C[NH2+][C@@H]2CCCCNC2=O)O'],1,2,0,0,0,0,0,0,0,0
216,['c1cc(oc1)C(=O)NC(=S)N2CCOCC2'],1,3,0,1,0,0,0,0,0,0
217,['CC(=O)Nc1ccc(cc1)Oc2ncccn2'],1,2,0,0,0,0,0,0,0,0
218,['c1ccc(cc1)COC(=O)N2CCC[C@H]2CO'],1,3,0,0,0,0,0,0,0,0
219,['Cc1ccc(cc1)C(=O)O[C@@H]2C[NH+]3CCC2CC3'],1,2,0,0,0,0,0,0,0,0
220,['Cc1ccc(cc1)CNC(=O)c2c(ccs2)C'],1,1,0,1,0,0,0,0,0,0
221,['CC(=O)Nc1nc(ns1)SC'],1,1,0,2,0,0,0,0,0,0
222,['COc1cc2cccnc2c(c1)N'],1,1,0,0,0,0,0,0,0,0
223,['C[C@H]1CN(C[C@H](O1)C)c2ccc(cc2C(=O)[O-])N'],1,3,0,0,0,0,0,0,0,0
224,['C[C@@H]1C[C@H]1C(=O)NCCc2ccc(cc2)Cl'],1,1,1,0,0,0,0,0,0,0
225,['c1ccc(cc1)CCCC(=O)N2CCOCC2'],1,2,0,0,0,0,0,0,0,0
226,['COc1ccc(cc1N)N'],1,1,0,0,0,0,0,0,0,0
227,['Cc1c(c(n(n1)C)C)NC(=O)CC#N'],1,1,0,0,0,0,0,0,0,0
228,['CC(C)c1ccc(cc1)C(=O)Nc2nncs2'],1,1,0,1,0,0,0,0,0,0
229,['COCC(=O)Nc1ccccc1'],1,2,0,0,0,0,0,0,0,0
230,['c1ccc(cc1)NO'],1,1,0,0,0,0,0,0,0,0
231,['c1cc(oc1)C[NH+]2CCS(=O)(=O)CC2'],1,3,0,1,0,0,0,0,0,0
232,['COc1ccc(cc1)NCc2ccccc2O'],1,2,0,0,0,0,0,0,0,0
233,['Cc1ccc(cc1)CNC(=O)Cc2cccs2'],1,1,0,1,0,0,0,0,0,0
234,['CC(=O)Nc1ccccc1C(=O)NN'],1,2,0,0,0,0,0,0,0,0
235,['CCOc1ccc(cc1)NC(=O)c2cnccn2'],1,2,0,0,0,0,0,0,0,0
236,['CC(=O)NCCc1ccc(cc1)S(=O)(=O)N'],1,3,0,1,0,0,0,0,0,0
237,['Cc1ccc(c(c1)O)NC2=CC(=O)CC(C2)(C)C'],1,2,0,0,0,0,0,0,0,0
238,['CC(C)(C)NC(=O)N1CCC(CC1)C(=O)N'],1,2,0,0,0,0,0,0,0,0
239,['c1ccc(c(c1)C(=O)NCCc2ccncc2)F'],1,1,0,0,0,0,0,0,0,0
240,['CC(=O)N1CCNC(=O)[C@@H]1CC(=O)OC'],1,4,0,0,0,0,0,0,0,0
241,['CCCC(=O)Nc1nnn(n1)CC'],1,1,0,0,0,0,0,0,0,0
242,['c1cc2c(cc1NC(=O)NCC3CC3)CCO2'],1,2,0,0,0,0,0,0,0,0
243,['CC(C)(C)NC(=O)Nc1ccccc1C(=O)N'],1,2,0,0,0,0,0,0,0,0
244,['c1cc2c(cc1C[NH2+]Cc3ccncc3)OCO2'],1,2,0,0,0,0,0,0,0,0
245,['CC1CC[NH+](CC1)Cc2c[nH]c3c2cccc3'],1,0,0,0,0,0,0,0,1,0
246,['COc1ccc(cn1)NC(=O)Nc2cccs2'],1,2,0,1,0,0,0,0,0,0
247,['c1cc(ccc1N2C(=O)CCC2=O)OCC(=O)[O-]'],1,5,0,0,0,0,0,0,0,0
248,['Cc1ccccc1OCC(=O)Nc2cccnc2'],1,2,0,0,0,0,0,0,0,0
249,['c1ccc2c(c1)ncn2Cc3ccc(cc3)F'],1,0,0,0,0,0,0,1,0,0
250,['Cc1nccc(n1)c2cccc(c2)NC(=O)NC'],1,1,0,0,0,0,0,0,0,0
251,['c1ccc(cc1)CCNC(=O)NC2CCCCC2'],1,1,0,0,0,0,0,0,0,0
252,['Cc1cccc(c1C)NC(=O)C[NH+]2CCOCC2'],1,2,0,0,0,0,0,0,0,0
253,['C[C@@H](C[NH2+]Cc1c(cccc1Cl)Cl)O'],1,1,2,0,0,0,0,0,0,0
254,['c1csc(c1NC(=O)C(F)(F)F)C(=O)N'],1,2,0,1,0,0,0,0,0,0
255,['c1ccc(cc1)C[NH+]2CCO[C@H](C2)CO'],1,2,0,0,0,0,0,0,0,0
256,['C[NH+]1CCN(CC1)C(=O)c2ccc(c(c2)F)F'],1,1,0,0,0,0,0,0,0,0
257,['CNC(=O)c1nc(no1)c2cccs2'],1,2,0,1,0,0,0,0,0,0
258,['c1cc(sc1)c2ccc(s2)c3ccn[nH]3'],1,0,0,2,0,0,0,0,0,0
259,['CC(C)(C)OC(=O)N1CCC(CC1)[NH2+]C2CC2'],1,2,0,0,0,0,0,0,0,0
260,['c1ccc(cc1)COCc2c[nH]c(=O)[nH]c2=O'],1,3,0,0,0,0,0,0,0,0
261,['Cc1ccc2c(c1)c3c([nH]2)[C@H](CCC3)[NH3+]'],1,0,0,0,0,0,0,0,0,0
262,['COC(=O)NNc1cc(ccn1)C(F)(F)F'],1,2,0,0,0,0,0,0,0,0
263,['c1ccc(c(c1)CNc2ccc(cc2)F)CO'],1,1,0,0,0,0,0,0,0,0
264,['COC(=O)c1ccc(o1)C[NH+]2CCCC2'],1,3,0,0,0,0,0,0,0,0
265,['C1CCC(CC1)NC(=O)CC#N'],1,1,0,0,0,0,0,0,0,0
266,['CC[NH+]1CCN(CC1)C(=O)NC2CCCCC2'],1,1,0,0,0,0,0,0,0,0
267,['c1cc(oc1)CNC(=O)NCc2ccco2'],1,3,0,0,0,0,0,0,0,0
268,['c1cc(ccc1C[NH+]2CCC(CC2)C(=O)N)F'],1,1,0,0,0,0,0,0,0,0
269,['CC(C)(C)C1CCC(CC1)[NH2+]Cc2ccncc2'],1,0,0,0,0,0,0,0,0,0
270,['Cc1cc(cc(c1NC)C)[N+](C)(C)C'],1,0,0,0,0,0,0,0,0,0
271,['c1cc(ccc1OCC(=O)N2CCCC2)F'],1,2,0,0,0,0,0,0,0,0
272,['COCC(=O)Nc1nc(cs1)c2ccccc2'],1,2,0,1,0,0,0,0,0,0
273,['c1ccc(cc1)CCC(=O)Nc2ccc(cc2)O'],1,2,0,0,0,0,0,0,0,0
274,['c1ccc2c(c1)OC[C@@H](O2)C(=O)N3CCOCC3'],1,4,0,0,0,0,0,0,0,0
275,['c1ccc(cc1)CNc2ccc(cc2)C(=O)[O-]'],1,2,0,0,0,0,0,0,0,0
276,['c1ccc(cc1)SCC(=O)NC2CCCCC2'],1,1,0,1,0,0,0,0,0,0
277,['COCC(=O)Nc1ccccc1C(=O)N'],1,3,0,0,0,0,0,0,0,0
278,['c1ccc(cc1)COc2ccc(cc2)C(=O)N'],1,2,0,0,0,0,0,0,0,0
279,['CCOc1ccc(cc1)NC(=O)NC(C)(C)C'],1,2,0,0,0,0,0,0,0,0
280,['c1ccc(cc1)[C@@H]2C[C@H]2C(=O)Nc3nccs3'],1,1,0,1,0,0,0,0,0,0
281,['c1cc(ccc1C(=O)Nc2ccc(cc2)O)Cl'],1,2,1,0,0,0,0,0,0,0
282,['c1cc(c(cc1C(F)(F)F)N)N2CCCCC2'],1,0,0,0,0,0,0,0,0,0
283,['COc1cc(cc(c1)OC)C(=O)Nn2cnnc2'],1,3,0,0,0,0,0,0,0,0
284,['c1ccnc(c1)NC(=O)c2cnccn2'],1,1,0,0,0,0,0,0,0,0
285,['COC(=O)c1cccc2c1-c3ccccc3C2=O'],1,3,0,0,0,0,0,0,0,0
286,['Cc1c(sc(n1)NC(=O)OC)C(=O)N(C)C'],1,3,0,1,0,0,0,0,0,0
287,['COc1ccc2c(c1)sc(n2)NC(=O)C3CC3'],1,2,0,1,0,0,0,0,0,0
288,['CCOC(=O)Nc1cccc(c1)Cl'],1,2,1,0,0,0,0,0,1,0
